ALDH1B1	ASMT
ALDH2	ASMT
ALDH3A1	ASMT
ALDH7A1	ASMT
ALDH9A1	ASMT
AOX1	ASMT
ACY3	ASNS
ADC	ASNS
ADSS	ASNS
ADSSL1	ASNS
ALDH18A1	ASNS
ALDH4A1	ASNS
ADSS	ASPA
ADSSL1	ASPA
ASNS	ASPA
ACVR1	ASPSCR1
ACVR2B	ASPSCR1
ALPK1	ASPSCR1
ALPP	ASPSCR1
ARAF	ASPSCR1
ADSS	ASRGL1
ADSSL1	ASRGL1
AMT	ASRGL1
ASNS	ASRGL1
ACY3	ASS1
ADSS	ASS1
ADSSL1	ASS1
AKTIP	ASS1
ARAF	ASS1
ASCC2	ASS1
ASL	ASS1
ASNS	ASS1
ASPA	ASS1
ASRGL1	ASS1
ARAF	ATF1
ARAF	ATF2
ABHD4	ATF3
ABL1	ATF3
ABT1	ATF3
ACAD9	ATF3
ADAR	ATF3
AFF4	ATF3
AGRP	ATF3
AIF1L	ATF3
AMDHD2	ATF3
ANAPC2	ATF3
ANKRD30BL	ATF3
AP1G2	ATF3
AP4S1	ATF3
APEX1	ATF3
ATF2	ATF3
ATF3	ATF4
ACVR1B	ATF6
ACVR2B	ATF6
ALPK1	ATF6
ARAF	ATF6
ATF6	ATF6B
ADRBK1	ATF7
ADSS	ATG10
ATG10	ATG12
AGPS	ATG16L1
ATG12	ATG16L1
ATG2A	ATG2B
AMBRA1	ATG3
ATF3	ATG3
ATG10	ATG3
ATG12	ATG3
ATG16L1	ATG3
AMBRA1	ATG4B
ANXA1	ATG4B
ATG10	ATG4B
ATG12	ATG4B
ATG3	ATG4B
ATG12	ATG5
ATG16L1	ATG5
ATG3	ATG5
ATG10	ATG7
ATG12	ATG7
ATG3	ATG7
ADSL	ATIC
ADSS	ATIC
ADSSL1	ATIC
ALDH1L1	ATIC
AMPD1	ATIC
AMPD2	ATIC
AMT	ATIC
APRT	ATIC
ARL6	ATL2
ABL1	ATM
AFF4	ATM
AP1B1	ATM
AP2A2	ATM
APITD1	ATM
ARHGAP20	ATM
ASPSCR1	ATM
ATF2	ATM
ASCC3	ATP13A2
ARL8B	ATP5J2
ANG	ATP6AP1
ATF3	ATP6V0B
ATF3	ATP6V0C
ATF3	ATP6V0D1
ATF3	ATP6V1C1
ALDOA	ATP6V1E1
ALDOB	ATP6V1E1
ALDOC	ATP6V1E1
AP2B1	ATP6V1G1
ATF3	ATP6V1G1
ATP6V1E1	ATP6V1G1
ATP6V1E1	ATP6V1G2
ATF3	ATP6V1H
ATP6V1E1	ATP6V1H
ATOX1	ATP7A
ATOX1	ATP7B
ATP5A1	ATPAF1
ATP5B	ATPAF1
ABL1	ATR
AP1B1	ATR
AP2A2	ATR
ARHGEF1	ATR
ATM	ATR
ATR	ATRIP
ARAF	ATRX
ANP32A	ATXN1
ATF3	ATXN1L
ATXN1	ATXN1L
ACTN1	ATXN7
ACTN2	ATXN7
ACTN4	ATXN7
ADAM33	ATXN7
AGRN	ATXN7
ATXN7	ATXN7L3
ATG12	AUP1
ATF6	AURKAIP1
ABI2	AURKB
ARHGAP20	AURKB
ASPSCR1	AURKB
ADCK1	AURKC
ANKRD1	AURKC
ANKS1A	AURKC
APAF1	AVEN
ARRB2	AVPR2
ANP32A	AXIN1
APC	AXIN1
APC2	AXIN1
ANKRD6	AXIN2
APC	AXIN2
APC2	AXIN2
A2M	B2M
ARL15	B4GALT3
ACAA1	BAAT
ACAA2	BAAT
AGXT	BAAT
AGXT2	BAAT
AMT	BAAT
ANPEP	BAAT
ADRBK1	BAD
AKT1	BAD
AR	BAG1
AMOT	BAG3
APOBEC1	BAG4
ATN1	BAIAP2
BAI1	BAIAP3
ACTR2	BAK1
AKAP13	BAK1
ACVRL1	BAMBI
ACIN1	BANF1
ACTL6A	BANF1
APTX	BANF1
ATP5J	BANF1
AHCYL2	BAP1
ANAPC7	BAP1
ANKRD17	BAP1
ASXL1	BAP1
ASXL2	BAP1
AURKB	BARD1
BACH1	BARD1
ARPC3	BAT3
B2M	BAT3
ATP5G3	BAT5
ADM	BATF
ADRBK1	BATF
AFF3	BATF
ANKRD30BL	BATF
AP3M2	BATF
ARAF	BATF
ARID3B	BATF
ARSB	BATF
ASB2	BATF
ASXL1	BATF
ATM	BATF
ALPK1	BAX
ATF3	BAX
BAK1	BAX
ACTL6A	BAZ1B
ARID1A	BAZ1B
BAZ1A	BAZ1B
ALDH1A3	BBOX1
ALDH1B1	BBOX1
ALDH2	BBOX1
ALDH3A1	BBOX1
ALDH7A1	BBOX1
ALDH9A1	BBOX1
ACTG1	BCAP31
BCAP29	BCAP31
ABL1	BCAR1
ARHGAP32	BCAR1
BCAR1	BCAR3
BCAT1	BCAT2
BCAT1	BCKDHA
BCAT2	BCKDHA
BCAT1	BCKDHB
BCAT2	BCKDHB
BCKDHA	BCKDHB
ABI2	BCKDK
ARHGAP20	BCKDK
ASPSCR1	BCKDK
BCKDHA	BCKDK
ACTB	BCL11A
ANKRD30BL	BCL11A
ASTL	BCL11A
AVEN	BCL2
BAD	BCL2
BAG1	BCL2
BAK1	BCL2
BAX	BCL2
BBC3	BCL2
BCAP31	BCL2
BAD	BCL2A1
BAX	BCL2A1
APAF1	BCL2L1
AVEN	BCL2L1
BAD	BCL2L1
BAK1	BCL2L1
BAX	BCL2L1
BBC3	BCL2L1
BCAP31	BCL2L1
BCL2	BCL2L1
BAX	BCL2L10
BCL2	BCL2L10
BCL2	BCL2L11
BCL2A1	BCL2L11
BCL2L1	BCL2L11
BCL2L1	BCL2L14
ATF3	BCL2L2
BAD	BCL2L2
BAK1	BCL2L2
BAX	BCL2L2
BCL2L11	BCL2L2
ABL1	BCL3
ACPT	BCL3
ACTB	BCL3
ACTG1	BCL3
ACVR1B	BCL3
ADARB1	BCL3
ADCK2	BCL3
AIF1L	BCL3
ALPK1	BCL3
AMN	BCL3
ANKRD30BL	BCL3
ARAF	BCL3
ARHGDIA	BCL3
ARVCF	BCL3
ASTL	BCL3
ATM	BCL3
BAG2	BCL3
BARD1	BCL3
BAT4	BCL3
BCKDK	BCL3
ARNT2	BCL6
ATF7	BCL6
BACH2	BCL6
BCL11A	BCL6
BCL6	BCL6B
ACTB	BCL7C
ACTL6A	BCL7C
ARID1A	BCL7C
ARID2	BCL7C
BANF1	BCL7C
ACTB	BCLAF1
ACTG1	BCLAF1
ADPRHL1	BCLAF1
ANKRD30BL	BCLAF1
ATF4	BCLAF1
AURKAIP1	BCLAF1
B2M	BCLAF1
BAT4	BCLAF1
ARAF	BCOR
BCL6	BCOR
ABI2	BCR
ABL1	BCR
ASPSCR1	BCR
ATF3	BCR
BCL3	BCR
BCLAF1	BCR
AACS	BDH1
AACS	BDH2
BDH1	BDH2
AGTR1	BDKRB2
ABL1	BDP1
AGBL5	BDP1
AIF1L	BDP1
ALOXE3	BDP1
ANG	BDP1
ANKRD30BL	BDP1
ARPM1	BDP1
B3GNT1	BDP1
BCR	BDP1
AFG3L2	BECN1
AMBRA1	BECN1
ATG14	BECN1
BCL2	BECN1
BCL2L1	BECN1
ABLIM1	BEGAIN
BAHD1	BEGAIN
ACVR1	BFAR
ACVR1B	BFAR
ACVR2B	BFAR
ADCK2	BFAR
ALPK1	BFAR
ARAF	BFAR
BCKDK	BFAR
APOB	BGN
APP	BGN
ACVRL1	BHLHB5
ABCF1	BHLHE40
ANKRD30BL	BHLHE40
BATF	BHLHE40
BCL11A	BHLHE40
BCLAF1	BHLHE40
AHCY	BHMT
ACTR1A	BICD2
ARHGDIA	BID
BATF	BID
BCL2	BID
BCL2A1	BID
BCL2L1	BID
BCL2L2	BID
BCL2	BIK
BCL2A1	BIK
BCL2L1	BIK
BCL2L2	BIK
AMPH	BIN1
ADRM1	BIRC2
BCL10	BIRC2
BCL10	BIRC3
AURKB	BIRC5
BIRC2	BIRC5
BIRC3	BIRC5
BIRC2	BIRC7
BCL2	BLID
BCL2L1	BLID
AFF4	BLK
APITD1	BLK
ASCC1	BLK
ASCC3L1	BLK
ASCL1	BLK
ASPSCR1	BLK
BARX1	BLK
BATF	BLK
BAX	BLK
BCL11A	BLK
BCL2	BLK
BCL2L1	BLK
BCL3	BLK
APITD1	BLM
ATM	BLM
ATR	BLM
APP	BLMH
AKT3	BLOC1S1
ATF3	BLOC1S1
BLOC1S1	BLOC1S2
BLOC1S1	BLOC1S3
BLOC1S2	BLOC1S3
BCL2	BMF
BCL2A1	BMF
BCL2L2	BMF
ATM	BMI1
ACTR2	BMP15
ACTR2	BMP2
ACVR2B	BMP2
AFF4	BMP2K
ACVR2A	BMP6
ACVR2B	BMP6
AMHR2	BMP6
ACTR2	BMP7
ACVR1	BMP7
ACVR2A	BMP7
ACVR2B	BMP7
ACVR1	BMP8B
ACVR2B	BMPR1A
BAMBI	BMPR1A
BFAR	BMPR1A
BMP2	BMPR1A
BMP4	BMPR1A
BMP6	BMPR1A
BMP7	BMPR1A
BMP8B	BMPR1A
ACVR2B	BMPR1B
AMHR2	BMPR1B
BAMBI	BMPR1B
BMP2	BMPR1B
BMP4	BMPR1B
BMP7	BMPR1B
BMPR1A	BMPR1B
ACVR1	BMPR2
ACVR1B	BMPR2
ANKS1A	BMPR2
ATF6	BMPR2
BMP15	BMPR2
BMP2	BMPR2
BMP4	BMPR2
BMP6	BMPR2
BMP7	BMPR2
BMPR1A	BMPR2
BMPR1B	BMPR2
ABI2	BMX
ACVR1B	BMX
ACVR2B	BMX
AFF4	BMX
AFG3L2	BMX
AIM2	BMX
AK1	BMX
AK2	BMX
AKR1A1	BMX
ALDOC	BMX
AMOT	BMX
ANXA2	BMX
ARID3B	BMX
ASCC1	BMX
ASCC3	BMX
ASF1A	BMX
ASPSCR1	BMX
ASTE1	BMX
ATF5	BMX
ATF6	BMX
ATXN3	BMX
AXL	BMX
BCL3	BMX
BFAR	BMX
BLOC1S1	BMX
BMPR1A	BMX
BCL2	BNIP1
BCL2L1	BNIP1
ARHGAP1	BNIP2
BCL2	BNIP2
BCL2	BNIP3
BCL2L1	BNIP3
BCL2	BNIP3L
BNIP3	BNIP3L
ARHGAP1	BNIPL
BAX	BNIPL
BCL2	BNIPL
BCL2L1	BNIPL
BNIP2	BNIPL
ATF3	BOD1
BCL2A1	BOK
ADRBK1	BOLA1
ADRBK2	BOLA1
ATF3	BOLA1
BMX	BOLA1
ARRB1	BOP1
ARRB2	BOP1
ACYP1	BPGM
ACYP2	BPGM
ACVR1	BPNT1
ADCK2	BPNT1
BCKDK	BPNT1
BMPR1B	BPNT1
AKT1	BRAF
ABL1	BRCA1
ACACA	BRCA1
AKAP11	BRCA1
AKT1	BRCA1
ANKFY1	BRCA1
ANKRD13C	BRCA1
ANKRD30BL	BRCA1
APLP2	BRCA1
AR	BRCA1
ARF3	BRCA1
ARNT	BRCA1
ASXL1	BRCA1
ATF1	BRCA1
ATF2	BRCA1
ATF7	BRCA1
ATM	BRCA1
ATP5F1	BRCA1
ATR	BRCA1
AURKA	BRCA1
BACH1	BRCA1
BANP	BRCA1
BARD1	BRCA1
BDNFOS	BRCA1
BLM	BRCA1
BRAP	BRCA1
ATM	BRCA2
ATR	BRCA2
AURKB	BRCA2
BACH1	BRCA2
BARD1	BRCA2
BCCIP	BRCA2
BRCA1	BRCA2
ATP5O	BRCC3
BACH1	BRCC3
BARD1	BRCC3
BRCA1	BRCC3
BRCA2	BRCC3
ADCK2	BRD2
ACVR2B	BRD3
ADRBK1	BRD3
ANKS1A	BRD3
ABI2	BRD4
AFF1	BRD4
AGR2	BRD7
ARID2	BRD7
BCL7C	BRD7
BHLHE40	BRD7
BRCA1	BRD7
BMX	BRD9
ATG2A	BRE
BARD1	BRE
BRCA1	BRE
BRCA2	BRE
BRCC3	BRE
ABL1	BRF1
AIF1L	BRF1
ANKRD30BL	BRF1
BCR	BRF1
ABCD3	BRF2
ABL1	BRF2
AIF1L	BRF2
AIFM1	BRF2
ANKRD30BL	BRF2
ATAD3A	BRF2
BCR	BRF2
BLM	BRIP1
BRCA1	BRIP1
ARID4A	BRMS1
BDP1	BRMS1
BRCA1	BRP44
ARAF	BRSK2
ADCK2	BRUNOL4
ATM	BRUNOL5
ATXN10	BSG
ADRBK1	BTBD1
BRCA1	BTBD10
AKT3	BTBD14A
BLK	BTBD14A
BRD7	BTBD2
AASS	BTD
ABI2	BTK
ADIPOR2	BTK
ADPGK	BTK
ANKRD1	BTK
ANKS1A	BTK
ARHGAP17	BTK
ARHGAP20	BTK
ARID3A	BTK
ATF6	BTK
ATOH1	BTK
BCL2L11	BTK
BFAR	BTK
BLNK	BTK
BMX	BTK
BTG3	BTK
APC	BTRC
ATF4	BTRC
AXIN1	BTRC
BST2	BTRC
ANKS1A	BUB1
APC	BUB1
ARIH2	BUB1
ASCC1	BUB1
ASPSCR1	BUB1
