CENPN	DYNC1LI2
CENPK	DYNC1LI2
DSN1	DYNC1LI2
CLASP2	DYNC1LI2
CKAP5	DYNC1LI2
CENPT	DYNC1LI2
CLIP1	DYNC1LI2
BET1	COG3
ACTR10	COG3
CAPZA1	COG3
ARCN1	COG3
ANK1	COG3
ANK3	COG3
COG1	COG3
CAPZA3	COG3
ANK2	COG3
CAPZA2	COG3
COG2	COG3
CD55	COG3
ACTR1A	COG3
BET1L	COG3
CD59	COG3
CAPZB	COG3
ARL1	COG3
ARFRP1	COG3
AC026464.6	COG3
ARF5	KDELR2
DCTN6	KDELR2
BET1	KDELR2
GOSR2	KDELR2
GOSR1	KDELR2
COPB1	KDELR2
ACTR10	KDELR2
ARF3	KDELR2
DYNC1LI2	KDELR2
COG3	KDELR2
DCTN3	KDELR2
COPE	KDELR2
CAPZA1	KDELR2
ARFGAP3	KDELR2
ARCN1	KDELR2
CENPE	KDELR2
ANK1	KDELR2
DYNC1LI1	KDELR2
ANK3	KDELR2
COG5	KDELR2
COG1	KDELR2
DCTN5	KDELR2
COG7	KDELR2
COG8	KDELR2
ARF4	KDELR2
GORASP1	KDELR2
ARFGAP1	KDELR2
COG4	KDELR2
DYNC1I1	KDELR2
COPG1	KDELR2
CAPZA3	KDELR2
COPB2	KDELR2
KDELR1	KDELR2
DYNC1H1	KDELR2
ANK2	KDELR2
DCTN1	KDELR2
CAPZA2	KDELR2
COG2	KDELR2
CD55	KDELR2
COPA	KDELR2
ACTR1A	KDELR2
GBF1	KDELR2
BET1L	KDELR2
DYNLL1	KDELR2
GOLGB1	KDELR2
FOLR1	KDELR2
CD59	KDELR2
DYNC1I2	KDELR2
INS	KDELR2
COG6	KDELR2
CAPZB	KDELR2
COPG2	KDELR2
DCTN2	KDELR2
DCTN4	KDELR2
GOLGA2	KDELR2
ARFGAP2	KDELR2
ARF1	KDELR2
COPZ1	KDELR2
DYNLL2	KDELR2
COPZ2	KDELR2
BNIP1	KDELR2
CLTA	KDELR2
CLTB	KDELR2
GPLD1	KDELR2
ASAP2	KDELR2
ARAP2	KDELR2
ARHGAP1	KDELR2
ARHGAP6	KDELR2
ARHGAP4	KDELR2
ARHGAP5	KDELR2
ARAP1	KDELR2
CHN1	KDELR2
ASAP1	KDELR2
ARF5	DCTN3
BET1	DCTN3
COPB1	DCTN3
ACTR10	DCTN3
ARF3	DCTN3
COG3	DCTN3
COPE	DCTN3
CAPZA1	DCTN3
ARFGAP3	DCTN3
ARCN1	DCTN3
CENPE	DCTN3
ANK1	DCTN3
ANK3	DCTN3
ACTR1B	DCTN3
COG5	DCTN3
COG1	DCTN3
COG7	DCTN3
COG8	DCTN3
ARF4	DCTN3
ARFGAP1	DCTN3
COG4	DCTN3
COPG1	DCTN3
CAPZA3	DCTN3
COPB2	DCTN3
ANK2	DCTN3
DCTN1	DCTN3
CAPZA2	DCTN3
COG2	DCTN3
CD55	DCTN3
COPA	DCTN3
ACTR1A	DCTN3
BET1L	DCTN3
CD59	DCTN3
COG6	DCTN3
CAPZB	DCTN3
COPG2	DCTN3
DCTN2	DCTN3
ARFGAP2	DCTN3
ARF1	DCTN3
COPZ1	DCTN3
COPZ2	DCTN3
AURKA	DCTN3
CDK1	DCTN3
BICD1	DCTN3
BICD2	DCTN3
AR	DCTN3
B9D2	DCTN3
CLASP1	DCTN3
CKAP5	DCTN3
CLIP1	DCTN3
CSNK1D	DCTN3
CEP41	DCTN3
CEP135	DCTN3
B9D1	DCTN3
CEP76	DCTN3
AJUBA	DCTN3
CEP72	DCTN3
CEP70	DCTN3
CEP164	DCTN3
CEP89	DCTN3
CEP57	DCTN3
C2CD3	DCTN3
CEP63	DCTN3
CEP97	DCTN3
CDK5RAP2	DCTN3
AKAP9	DCTN3
AHI1	DCTN3
CETN2	DCTN3
CNTRL	DCTN3
CEP78	DCTN3
CEP152	DCTN3
CCP110	DCTN3
CENPJ	DCTN3
CSNK1E	DCTN3
CEP250	DCTN3
CEP83	DCTN3
CDK11A	DCTN3
CEP162	DCTN3
CEP131	DCTN3
CC2D2A	DCTN3
CEP192	DCTN3
CEP290	DCTN3
CDK11B	DCTN3
BORA	DCTN3
ALMS1	DCTN3
